"PRINCIPAL PARTS","GLOSS","CHAPTER"
"fluctus fluctūs m.","flood","16"
"genū (genus) genūs n.","knee","16"
"igitur","therefore","16"
"impetus impetūs m.","attack","16"
"inde","from there, from then","16"
"manus manūs f.","hand; band of men","16"
"metus metūs m.","fear, dread, anxiety","16"
"mīle passus mīlia passuum pl.","mile; miles","16"
"passus passūs m.","pace, footstep","16"
"rēs reī f.","matter, business, affair, thing","16"
"rēs publica reī publicae f.","republic","16"
"rūs rūris n.","country","16"
"senātus senātūs m.","senate","16"
"spēs speī f.","hope","16"
"tam","so","16"
"vultus vultūs m.","expression","16"
"ā ab abs","from, by","17"
"aciēs acieī f.","edge; line of battle","17"
"alter altera alterum","other of two","17"
"āmittō āmittere āmīsī āmīssus","to send away, lose","17"
"castra castrōrum n. (rarely –ae f.)","camp","17"
"castra pōnere","pitch camp","17"
"cernō cernere crēvī crētus","to discern, separate","17"
"concurrō concurrere concucurrī concursus","to assemble","17"
"cōnstituō cōnstituere cōnstituī cōnstitūtus","to establish; decide","17"
"contrā","against, opposite (adv. and prep. +acc.)","17"
"currō currere cucurrī cursus","to run","17"
"epistula epistulae f.","letter","17"
"exercitus exercitūs m.","army","17"
"ferrum ferrī n.","iron","17"
"ferus –a –um","wild, fierce","17"
"incendō incendere incendī incensus","to set fire to, burn","17"
"īnstituō īnstituere īnstituī īnstitūtus","to undertake; equip, educate","17"
"iūdicium iūdici(ī) n.","decision; trial","17"
"multitūdō multitūdinis f.","multitude, number","17"
"proelium proeliī n.","battle","17"
"spectō spectāre spectāvī spectātus","to look at","17"
"trahō trahere trāxī tractus","to drag","17"
"videor vidērī vīsus sum","to seem; be seen","17"
"accipiō accipere accēpī acceptus","to receive","18"
"adventus adventūs m.","an arrival","18"
"amīcus –a –um","friendly (+dat.)","18"
"aptus –a –um","fitted to, appropriate, fitting","18"
"cārus –a –um","precious","18"
"clāmor clāmōris m.","outcry, shout","18"
"cōnficiō cōnficere cōnfēcī cōnfectus","to finish","18"
"cum","when; since; although","18"
"dum","while, until, provided that","18"
"fās n.","right (indeclinable)","18"
"fidēlis fidēle","faithful","18"
"gaudium gaudi(ī) n.","joy","18"
"inimīcus –a –um","unfriendly, hostile","18"
"pār paris","equal, like (+dat.)","18"
"postquam","after","18"
"quia","because","18"
"quod","because","18"
"sī","if","18"
"similis simile","similar","18"
"ubī","where, when","18"
"vulnus vulneris n.","wound","18"
"aestus aestūs m.","heat; wave, tide","19"
"auris auris f.","ear","19"
"auxilium auxilī n.","aid, help","19"
"Caesar Caesaris m.","Caesar (name)","19"
"careō carēre caruī caritus","to be without","19"
"efficiō efficere effēcī effectus (efficatus, rarely)","carry out, accomplish","19"
"equus equī m.","horse","19"
"frangō frangere frēgī frāctus","to break, shatter","19"
"Graecia Graeciae f.","Greece","19"
"Graecus (Grāius) –a –um","Greek, of Greece","19"
"levis –e","light, trivial","19"
"memoria memoriae f.","memory","19"
"nāvis nāvis f.","ship","19"
"nūbēs nūbis f.","cloud","19"
"propinquus –a –um","near, related","19"
"quī quae quod","who, which","19"
"Rōma Rōmae f.","Rome","19"
"soror sorōris f.","sister","19"
"Troia Troiae f.","Troy","19"
"Trōiānus –a –um","Trojan","19"
